Participant ID ,Session ID ,Study ID ,Session,Age ,Sex ,Handedness ,Highest level of Education/Training ,If ,If ,If ,q5,Date ,Time to complete the task ,Volume of Brain Removed ,LH Instrument Type ,RH Instrument Type ,Pathlength of LH instrument ,Pathlength of RH instrument ,Percentage of Tissue Removed 0 ,Percentage of Tissue Removed 1 ,Do you play a musical instrument? ,q9,q10,q11,q12,q13,q14,Date ,Time to complete the task ,Volume of Brain Removed ,LH Instrument Type ,RH Instrument Type ,Pathlength of LH instrument ,Pathlength of RH instrument ,Percentage of Tissue Removed 0 ,Percentage of Tissue Removed 1 
72848,197,ms004,1,23,Female,Right,Med School,2017,,,Yes, 13-07-18,619.701,3.62503, SuctionCurved7Fr, Bipolar,9351.27,6239.86,8.41892,45.408,Yes,Neutral,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree, 13-07-18,619.701,3.62503, SuctionCurved7Fr, Bipolar,9351.27,6239.86,8.41892,45.408
72848,198,ms004,2,23,Female,Right,Med School,2017,,,Yes, 13-07-19,676.778,8.16054, SuctionCurved7Fr, Bipolar,14745.8,4771.06,18.9524,99.1611,Yes,Neutral,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree, 13-07-19,676.778,8.16054, SuctionCurved7Fr, Bipolar,14745.8,4771.06,18.9524,99.1611
72848,199,ms004,3,23,Female,Right,Med School,2017,,,Yes, 13-07-25,669.444,7.09858, SuctionCurved7Fr, Bipolar,15623.3,7947.05,16.486,87.0366,Yes,Neutral,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree, 13-07-25,669.444,7.09858, SuctionCurved7Fr, Bipolar,15623.3,7947.05,16.486,87.0366
72848,200,ms004,4,23,Female,Right,Med School,2017,,,Yes, 13-07-29,607.542,6.67192, SuctionCurved7Fr, Bipolar,14344.7,3611.83,15.4952,86.83,Yes,Neutral,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree, 13-07-29,607.542,6.67192, SuctionCurved7Fr, Bipolar,14344.7,3611.83,15.4952,86.83
72851,204,ms005,1,23,Female,Right,Med School,1,,,Yes, 13-07-18,625.88,0.509731, SuctionCurved7Fr, Bipolar,2850.52,2751.34,1.18382,0.0787139,No,Neutral,Disagree,Strongly disagree,Neutral,Neutral,Neutral, 13-07-18,625.88,0.509731, SuctionCurved7Fr, Bipolar,2850.52,2751.34,1.18382,0.0787139
72851,203,ms005,2,23,Female,Right,Med School,1,,,Yes, 13-07-19,647.759,1.8913, Bipolar, SuctionCurved7Fr,2765.19,7375.04,4.39245,13.7683,No,Neutral,Disagree,Strongly disagree,Neutral,Neutral,Neutral, 13-07-19,647.759,1.8913, Bipolar, SuctionCurved7Fr,2765.19,7375.04,4.39245,13.7683
72851,202,ms005,3,23,Female,Right,Med School,1,,,Yes, 13-07-22,617.5,1.46483, Bipolar, SuctionCurved7Fr,1694.2,6234.63,3.40198,15.4736,No,Neutral,Disagree,Strongly disagree,Neutral,Neutral,Neutral, 13-07-22,617.5,1.46483, Bipolar, SuctionCurved7Fr,1694.2,6234.63,3.40198,15.4736
72851,201,ms005,4,23,Female,Right,Med School,1,,,Yes, 13-07-24,617.179,1.97509, Bipolar, SuctionCurved7Fr,2440.87,10039.5,4.58702,52.2339,No,Neutral,Disagree,Strongly disagree,Neutral,Neutral,Neutral, 13-07-24,617.179,1.97509, Bipolar, SuctionCurved7Fr,2440.87,10039.5,4.58702,52.2339
72853,205,ms006,1,23,Female,Right,Med School,1,,,Yes, 13-07-18,625.82,2.54987, SuctionCurved7Fr, Bipolar,8262.28,4583.32,5.92192,73.9705,No,Neutral,Disagree,Strongly disagree,Disagree,Agree,Agree, 13-07-18,625.82,2.54987, SuctionCurved7Fr, Bipolar,8262.28,4583.32,5.92192,73.9705
72853,206,ms006,2,23,Female,Right,Med School,1,,,Yes, 13-07-19,633.159,4.62742, Bipolar, SuctionCurved7Fr,2261.42,13489.5,10.7469,93.0033,No,Neutral,Disagree,Strongly disagree,Disagree,Agree,Agree, 13-07-19,633.159,4.62742, Bipolar, SuctionCurved7Fr,2261.42,13489.5,10.7469,93.0033
72853,207,ms006,3,23,Female,Right,Med School,1,,,Yes, 13-07-22,632.8,4.38491, Bipolar, SuctionCurved7Fr,3042.35,14825.7,10.1837,91.0895,No,Neutral,Disagree,Strongly disagree,Disagree,Agree,Agree, 13-07-22,632.8,4.38491, Bipolar, SuctionCurved7Fr,3042.35,14825.7,10.1837,91.0895
73501,222,ms007,1,24,Male,Right,Med School,1,,,No, 13-07-30,628.099,2.50679, SuctionCurved7Fr, Bipolar,7388.75,10217.8,5.82187,51.4982,No,Strongly agree,Agree,Disagree,Agree,Strongly agree,Strongly agree, 13-07-30,628.099,2.50679, SuctionCurved7Fr, Bipolar,7388.75,10217.8,5.82187,51.4982
73501,208,ms007,2,24,Male,Right,Med School,1,,,No, 13-07-30,628.099,2.50679, SuctionCurved7Fr, Bipolar,7388.75,10217.8,5.82187,51.4982,No,Strongly agree,Agree,Disagree,Agree,Strongly agree,Strongly agree, 13-07-30,628.099,2.50679, SuctionCurved7Fr, Bipolar,7388.75,10217.8,5.82187,51.4982
73501,209,ms007,3,24,Male,Right,Med School,1,,,No, 13-07-31,624.322,4.18265, Bipolar, SuctionCurved7Fr,5963.69,14244.8,9.71396,67.6793,No,Strongly agree,Agree,Disagree,Agree,Strongly agree,Strongly agree, 13-07-31,624.322,4.18265, Bipolar, SuctionCurved7Fr,5963.69,14244.8,9.71396,67.6793
73501,223,ms007,4,24,Male,Right,Med School,1,,,No, 13-07-31,624.322,4.18265, Bipolar, SuctionCurved7Fr,5963.69,14244.8,9.71396,67.6793,No,Strongly agree,Agree,Disagree,Agree,Strongly agree,Strongly agree, 13-07-31,624.322,4.18265, Bipolar, SuctionCurved7Fr,5963.69,14244.8,9.71396,67.6793
73818,228,ms008,1,24,Male,Right,Med School,1,,,Yes, 13-08-08,649.2,3.32653, SuctionCurved7Fr, Bipolar,8951.59,3656.12,7.72567,73.9413,Yes,Agree,Disagree,Disagree,Agree,Agree,Agree, 13-08-08,649.2,3.32653, SuctionCurved7Fr, Bipolar,8951.59,3656.12,7.72567,73.9413
73818,361,ms008,2,24,Male,Right,Med School,1,,,Yes, 13-08-09,628.376,5.34784, SuctionCurved7Fr, Bipolar,12974,2473.19,12.4201,87.7506,Yes,Agree,Disagree,Disagree,Agree,Agree,Agree, 13-08-09,628.376,5.34784, SuctionCurved7Fr, Bipolar,12974,2473.19,12.4201,87.7506
73818,362,ms008,3,24,Male,Right,Med School,1,,,Yes, 13-08-12,608.94,2.66824, SuctionCurved7Fr, Bipolar,10814.3,4014.84,6.19683,58.2852,Yes,Agree,Disagree,Disagree,Agree,Agree,Agree, 13-08-12,608.94,2.66824, SuctionCurved7Fr, Bipolar,10814.3,4014.84,6.19683,58.2852
73818,363,ms008,4,24,Male,Right,Med School,1,,,Yes, 13-08-13,609.55,2.84363, SuctionCurved7Fr, Bipolar,10918.9,2794.85,6.60415,68.5666,Yes,Agree,Disagree,Disagree,Agree,Agree,Agree, 13-08-13,609.55,2.84363, SuctionCurved7Fr, Bipolar,10918.9,2794.85,6.60415,68.5666
73820,230,ms009,1,23,Male,Right,Med School,1,,,No, 13-08-08,663.601,1.61816, SuctionCurved7Fr, Bipolar,5929.91,6756.06,3.75807,35.5551,No,Neutral,Agree,Agree,Neutral,Strongly agree,Strongly agree, 13-08-08,663.601,1.61816, SuctionCurved7Fr, Bipolar,5929.91,6756.06,3.75807,35.5551
73820,356,ms009,2,23,Male,Right,Med School,1,,,No, 13-08-09,388.281,1.60895, Bipolar, SuctionCurved7Fr,3427.83,6672.57,3.7367,28.679,No,Neutral,Agree,Agree,Neutral,Strongly agree,Strongly agree, 13-08-09,388.281,1.60895, Bipolar, SuctionCurved7Fr,3427.83,6672.57,3.7367,28.679
73820,357,ms009,3,23,Male,Right,Med School,1,,,No, 13-08-13,643.96,1.81605, Bipolar, SuctionCurved7Fr,4410.84,12592.9,4.21768,49.0751,No,Neutral,Agree,Agree,Neutral,Strongly agree,Strongly agree, 13-08-13,643.96,1.81605, Bipolar, SuctionCurved7Fr,4410.84,12592.9,4.21768,49.0751
73821,231,ms010,1,24,Female,Right,Med School,1,,,Yes, 13-08-08,604.542,2.38304, SuctionCurved7Fr, Bipolar,6080.95,2595.9,5.53446,23.8353,Yes,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree, 13-08-08,604.542,2.38304, SuctionCurved7Fr, Bipolar,6080.95,2595.9,5.53446,23.8353
73821,353,ms010,2,24,Female,Right,Med School,1,,,Yes, 13-08-09,647.918,2.20566, SuctionCurved7Fr, Bipolar,7041.41,3834.71,5.12252,47.9932,Yes,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree, 13-08-09,647.918,2.20566, SuctionCurved7Fr, Bipolar,7041.41,3834.71,5.12252,47.9932
73821,354,ms010,3,24,Female,Right,Med School,1,,,Yes, 13-08-12,624.1,2.51709, Bipolar, SuctionCurved7Fr,2186.31,7750.54,5.8458,60.186,Yes,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree, 13-08-12,624.1,2.51709, Bipolar, SuctionCurved7Fr,2186.31,7750.54,5.8458,60.186
73821,355,ms010,4,24,Female,Right,Med School,1,,,Yes, 13-08-13,607.581,2.24488, Bipolar, SuctionCurved7Fr,1698.6,7311.36,5.21359,62.3944,Yes,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree, 13-08-13,607.581,2.24488, Bipolar, SuctionCurved7Fr,1698.6,7311.36,5.21359,62.3944
73835,234,ms011,1,23,Female,Right,Med School,1,,,Yes, 13-08-08,690.02,1.70085, SuctionCurved7Fr, Bipolar,5748.45,6277.9,3.95012,19.343,Yes,Strongly agree,Neutral,Disagree,Neutral,Agree,Agree, 13-08-08,690.02,1.70085, SuctionCurved7Fr, Bipolar,5748.45,6277.9,3.95012,19.343
73835,350,ms011,2,23,Female,Right,Med School,1,,,Yes, 13-08-09,665.285,2.95852, Bipolar, SuctionCurved7Fr,4157.83,8509.48,6.87098,72.6036,Yes,Strongly agree,Neutral,Disagree,Neutral,Agree,Agree, 13-08-09,665.285,2.95852, Bipolar, SuctionCurved7Fr,4157.83,8509.48,6.87098,72.6036
73835,351,ms011,3,23,Female,Right,Med School,1,,,Yes, 13-08-12,616.979,3.68794, Bipolar, SuctionCurved7Fr,2573.34,8912.16,8.56502,83.9502,Yes,Strongly agree,Neutral,Disagree,Neutral,Agree,Agree, 13-08-12,616.979,3.68794, Bipolar, SuctionCurved7Fr,2573.34,8912.16,8.56502,83.9502
73835,352,ms011,4,23,Female,Right,Med School,1,,,Yes, 13-08-13,606.303,5.28095, Bipolar, SuctionCurved7Fr,1917.06,11361.7,12.2647,99.8106,Yes,Strongly agree,Neutral,Disagree,Neutral,Agree,Agree, 13-08-13,606.303,5.28095, Bipolar, SuctionCurved7Fr,1917.06,11361.7,12.2647,99.8106
73836,235,ms012,1,24,Female,Right,Med School,1,,,No, 13-08-08,619.438,2.91588, SuctionCurved7Fr, Bipolar,7710.39,6367.66,6.77195,62.7269,Yes,Neutral,Neutral,Strongly disagree,Neutral,Agree,Neutral, 13-08-08,619.438,2.91588, SuctionCurved7Fr, Bipolar,7710.39,6367.66,6.77195,62.7269
73836,347,ms012,2,24,Female,Right,Med School,1,,,No, 13-08-09,661.042,2.34525, SuctionCurved7Fr, Bipolar,6241.38,4182.48,5.44671,58.319,Yes,Neutral,Neutral,Strongly disagree,Neutral,Agree,Neutral, 13-08-09,661.042,2.34525, SuctionCurved7Fr, Bipolar,6241.38,4182.48,5.44671,58.319
73836,348,ms012,3,24,Female,Right,Med School,1,,,No, 13-08-12,611.283,2.92695, Bipolar, SuctionCurved7Fr,2788.26,9045.18,6.79766,69.8137,Yes,Neutral,Neutral,Strongly disagree,Neutral,Agree,Neutral, 13-08-12,611.283,2.92695, Bipolar, SuctionCurved7Fr,2788.26,9045.18,6.79766,69.8137
73836,349,ms012,4,24,Female,Right,Med School,1,,,No, 13-08-13,621.58,2.87574, Bipolar, SuctionCurved7Fr,3867.24,10767.2,6.67874,77.9696,Yes,Neutral,Neutral,Strongly disagree,Neutral,Agree,Neutral, 13-08-13,621.58,2.87574, Bipolar, SuctionCurved7Fr,3867.24,10767.2,6.67874,77.9696
73883,329,ms013,1,24,Female,Right,Med School,1,,,Yes, 13-08-08,635.4,2.1873, SuctionCurved7Fr, Bipolar,7450.38,3691.3,5.07988,69.9804,Yes,Agree,Disagree,,Agree,Neutral,Disagree, 13-08-08,635.4,2.1873, SuctionCurved7Fr, Bipolar,7450.38,3691.3,5.07988,69.9804
73883,330,ms013,2,24,Female,Right,Med School,1,,,Yes, 13-08-09,636.701,2.66899, SuctionCurved7Fr, Bipolar,6861.98,2640.32,6.19858,77.2312,Yes,Agree,Disagree,,Agree,Neutral,Disagree, 13-08-09,636.701,2.66899, SuctionCurved7Fr, Bipolar,6861.98,2640.32,6.19858,77.2312
73883,331,ms013,3,24,Female,Right,Med School,1,,,Yes, 13-08-12,654.48,3.78355, Bipolar, SuctionCurved7Fr,2568.04,9164.1,8.78708,82.9725,Yes,Agree,Disagree,,Agree,Neutral,Disagree, 13-08-12,654.48,3.78355, Bipolar, SuctionCurved7Fr,2568.04,9164.1,8.78708,82.9725
73883,332,ms013,4,24,Female,Right,Med School,1,,,Yes, 13-08-13,610.794,3.04755, Bipolar, SuctionCurved7Fr,2310.07,8419.81,7.07775,84.6186,Yes,Agree,Disagree,,Agree,Neutral,Disagree, 13-08-13,610.794,3.04755, Bipolar, SuctionCurved7Fr,2310.07,8419.81,7.07775,84.6186
73840,236,ms014,1,22,Male,Right,Med School,1,,,Yes, 13-08-08,718.602,2.79677, SuctionCurved7Fr, Bipolar,10927.6,5507.14,6.49533,71.5793,Yes,Agree,Agree,Strongly disagree,Agree,Strongly agree,Strongly agree, 13-08-08,718.602,2.79677, SuctionCurved7Fr, Bipolar,10927.6,5507.14,6.49533,71.5793
73840,344,ms014,2,22,Male,Right,Med School,1,,,Yes, 13-08-09,670.839,3.42588, SuctionCurved7Fr, Bipolar,13341.5,8997.7,7.9564,59.9883,Yes,Agree,Agree,Strongly disagree,Agree,Strongly agree,Strongly agree, 13-08-09,670.839,3.42588, SuctionCurved7Fr, Bipolar,13341.5,8997.7,7.9564,59.9883
73840,345,ms014,3,22,Male,Right,Med School,1,,,Yes, 13-08-12,755.098,2.11339, SuctionCurved7Fr, Bipolar,13569.7,13864.7,4.90823,55.3299,Yes,Agree,Agree,Strongly disagree,Agree,Strongly agree,Strongly agree, 13-08-12,755.098,2.11339, SuctionCurved7Fr, Bipolar,13569.7,13864.7,4.90823,55.3299
73840,346,ms014,4,22,Male,Right,Med School,1,,,Yes, 13-08-13,688.641,2.17769, SuctionCurved7Fr, Bipolar,16494.6,10844.3,5.05756,57.874,Yes,Agree,Agree,Strongly disagree,Agree,Strongly agree,Strongly agree, 13-08-13,688.641,2.17769, SuctionCurved7Fr, Bipolar,16494.6,10844.3,5.05756,57.874
73854,238,ms015,1,24,Male,Right,Med School,1,,,Yes, 13-08-08,901.939,2.54873, SuctionCurved7Fr, Bipolar,8440.24,5444.58,5.91927,28.3159,No,Agree,Neutral,Disagree,Agree,Strongly agree,Agree, 13-08-08,901.939,2.54873, SuctionCurved7Fr, Bipolar,8440.24,5444.58,5.91927,28.3159
73854,340,ms015,2,24,Male,Right,Med School,1,,,Yes, 13-08-09,692.301,2.46744, Bipolar, SuctionCurved7Fr,4836.75,6680.42,5.73049,32.1446,No,Agree,Neutral,Disagree,Agree,Strongly agree,Agree, 13-08-09,692.301,2.46744, Bipolar, SuctionCurved7Fr,4836.75,6680.42,5.73049,32.1446
73854,341,ms015,3,24,Male,Right,Med School,1,,,Yes, 13-08-12,654.541,1.55267, Bipolar, SuctionCurved7Fr,3847.91,7465.75,3.60598,39.5448,No,Agree,Neutral,Disagree,Agree,Strongly agree,Agree, 13-08-12,654.541,1.55267, Bipolar, SuctionCurved7Fr,3847.91,7465.75,3.60598,39.5448
73854,342,ms015,4,24,Male,Right,Med School,1,,,Yes, 13-08-13,617.181,1.70073, Bipolar, SuctionCurved7Fr,2919.08,6349.8,3.94984,28.6383,No,Agree,Neutral,Disagree,Agree,Strongly agree,Agree, 13-08-13,617.181,1.70073, Bipolar, SuctionCurved7Fr,2919.08,6349.8,3.94984,28.6383
73882,333,ms016,1,21,Male,Right,Med School,1,,,Yes, 13-08-09,627.534,2.54157, SuctionCurved7Fr, Bipolar,6723.82,6186.45,5.90265,68.184,Yes,Neutral,Neutral,Neutral,Agree,Strongly agree,Strongly agree, 13-08-09,627.534,2.54157, SuctionCurved7Fr, Bipolar,6723.82,6186.45,5.90265,68.184
73882,334,ms016,2,21,Male,Right,Med School,1,,,Yes, 13-08-12,616.518,4.3022, SuctionCurved7Fr, Bipolar,8495.23,5525.57,9.9916,85.0736,Yes,Neutral,Neutral,Neutral,Agree,Strongly agree,Strongly agree, 13-08-12,616.518,4.3022, SuctionCurved7Fr, Bipolar,8495.23,5525.57,9.9916,85.0736
73882,335,ms016,3,21,Male,Right,Med School,1,,,Yes, 13-08-13,511.069,3.52885, Bipolar, SuctionCurved7Fr,3424.92,10834,8.19555,77.5387,Yes,Neutral,Neutral,Neutral,Agree,Strongly agree,Strongly agree, 13-08-13,511.069,3.52885, Bipolar, SuctionCurved7Fr,3424.92,10834,8.19555,77.5387
73882,336,ms016,4,21,Male,Right,Med School,1,,,Yes, 13-08-19,478.599,2.7891, Bipolar, SuctionCurved7Fr,4173.08,11582,6.47752,86.7351,Yes,Neutral,Neutral,Neutral,Agree,Strongly agree,Strongly agree, 13-08-19,478.599,2.7891, Bipolar, SuctionCurved7Fr,4173.08,11582,6.47752,86.7351
73887,322,ms017,1,25,Female,Right,Med School,1,,,Yes, 13-08-09,613.401,2.24014, SuctionCurved7Fr, Bipolar,9627.93,7225.41,5.2026,28.6651,Yes,Neutral,Disagree,Neutral,Disagree,Agree,Neutral, 13-08-09,613.401,2.24014, SuctionCurved7Fr, Bipolar,9627.93,7225.41,5.2026,28.6651
73887,323,ms017,2,25,Female,Right,Med School,1,,,Yes, 13-08-21,627.501,2.30881, Bipolar, SuctionCurved7Fr,3220.51,10707.1,5.36208,67.2922,Yes,Neutral,Disagree,Neutral,Disagree,Agree,Neutral, 13-08-21,627.501,2.30881, Bipolar, SuctionCurved7Fr,3220.51,10707.1,5.36208,67.2922
73887,324,ms017,3,25,Female,Right,Med School,1,,,Yes, 13-08-22,609.561,1.3022, Bipolar, SuctionCurved7Fr,3625.57,8270.43,3.02427,42.4473,Yes,Neutral,Disagree,Neutral,Disagree,Agree,Neutral, 13-08-22,609.561,1.3022, Bipolar, SuctionCurved7Fr,3625.57,8270.43,3.02427,42.4473
73888,318,ms018,1,26,Male,Right,Med School,1,,,No, 13-08-09,610.462,4.63648, SuctionCurved7Fr, Bipolar,12490.7,6134.72,10.768,74.4297,No,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree, 13-08-09,610.462,4.63648, SuctionCurved7Fr, Bipolar,12490.7,6134.72,10.768,74.4297
73888,319,ms018,2,26,Male,Right,Med School,1,,,No, 13-08-12,606.32,1.51914, SuctionCurved7Fr, Bipolar,6258.92,4095.08,3.52812,27.8643,No,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree, 13-08-12,606.32,1.51914, SuctionCurved7Fr, Bipolar,6258.92,4095.08,3.52812,27.8643
73888,320,ms018,3,26,Male,Right,Med School,1,,,No, 13-08-13,585.348,2.04476, SuctionCurved7Fr, Bipolar,7849.41,5056.09,4.74883,51.5229,No,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree, 13-08-13,585.348,2.04476, SuctionCurved7Fr, Bipolar,7849.41,5056.09,4.74883,51.5229
73888,321,ms018,4,26,Male,Right,Med School,1,,,No, 13-08-14,606.22,2.47291, SuctionCurved7Fr, Bipolar,6904.05,4098.23,5.74318,31.6423,No,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree, 13-08-14,606.22,2.47291, SuctionCurved7Fr, Bipolar,6904.05,4098.23,5.74318,31.6423
73890,310,ms019,1,26,Male,Right,Med School,1,,,No, 13-08-09,678.519,2.4014, SuctionCurved7Fr, Nothing,7017.27,4631.98,5.57712,55.7091,No,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree, 13-08-09,678.519,2.4014, SuctionCurved7Fr, Nothing,7017.27,4631.98,5.57712,55.7091
73890,311,ms019,2,26,Male,Right,Med School,1,,,No, 13-08-12,643.882,2.82164, SuctionCurved7Fr, Bipolar,7750.24,3270.85,6.5531,59.2997,No,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree, 13-08-12,643.882,2.82164, SuctionCurved7Fr, Bipolar,7750.24,3270.85,6.5531,59.2997
73890,312,ms019,3,26,Male,Right,Med School,1,,,No, 13-08-20,608.577,4.76564, Bipolar, SuctionCurved7Fr,3586.1,16318.4,11.0679,89.0024,No,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree, 13-08-20,608.577,4.76564, Bipolar, SuctionCurved7Fr,3586.1,16318.4,11.0679,89.0024
73890,313,ms019,4,26,Male,Right,Med School,1,,,No, 13-09-04,613.995,6.36705, Bipolar, SuctionCurved7Fr,4259.97,18979.9,14.7871,96.5871,No,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree, 13-09-04,613.995,6.36705, Bipolar, SuctionCurved7Fr,4259.97,18979.9,14.7871,96.5871
74071,278,MS020,1,23,Female,Left,Med School,2017,,,No, 13-08-13,811.365,4.22782, Nothing, Bipolar,16865.3,14420.3,9.81886,76.4851,No,Neutral,Disagree,Strongly disagree,Agree,Neutral,Neutral, 13-08-13,811.365,4.22782, Nothing, Bipolar,16865.3,14420.3,9.81886,76.4851
74071,279,MS020,2,23,Female,Left,Med School,2017,,,No, 13-08-14,630.7,5.00909, SuctionCurved7Fr, Bipolar,13063.4,2099.7,11.6333,95.3535,No,Neutral,Disagree,Strongly disagree,Agree,Neutral,Neutral, 13-08-14,630.7,5.00909, SuctionCurved7Fr, Bipolar,13063.4,2099.7,11.6333,95.3535
74071,280,MS020,3,23,Female,Left,Med School,2017,,,No, 13-10-17,731.422,3.78825, SuctionCurved7Fr, Bipolar,15096.7,5700.08,8.79799,86.1797,No,Neutral,Disagree,Strongly disagree,Agree,Neutral,Neutral, 13-10-17,731.422,3.78825, SuctionCurved7Fr, Bipolar,15096.7,5700.08,8.79799,86.1797
73895,306,ms021,1,22,Male,Right,Med School,1,,,Yes, 13-08-09,620.822,2.08913, SuctionCurved7Fr, Bipolar,8049.92,4974.87,4.85189,56.133,No,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree, 13-08-09,620.822,2.08913, SuctionCurved7Fr, Bipolar,8049.92,4974.87,4.85189,56.133
73895,307,ms021,2,22,Male,Right,Med School,1,,,Yes, 13-08-12,637.459,4.08411, Bipolar, SuctionCurved7Fr,4628.4,15707.2,9.4851,78.2749,No,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree, 13-08-12,637.459,4.08411, Bipolar, SuctionCurved7Fr,4628.4,15707.2,9.4851,78.2749
73895,308,ms021,3,22,Male,Right,Med School,1,,,Yes, 13-08-13,619.702,3.36737, Bipolar, SuctionCurved7Fr,5022.93,10540.1,7.82052,78.6678,No,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree, 13-08-13,619.702,3.36737, Bipolar, SuctionCurved7Fr,5022.93,10540.1,7.82052,78.6678
